All The Banned/OP Video Links:

No. is reference to what number it is on the document (below):
https://github.com/ureadmyname/basicBot-customization/blob/master/ExampleOPlist.json

______________________________________________________________________________________________________________________
No. Ref|Link:                                         |Song Name:                                                    |
113.   |https://www.youtube.com/watch?v=TkT1RmwTNmA   |Flo Rida - GDFR (K Theory Remix)                              |
114.   |https://www.youtube.com/watch?v=Cd8hgiLM8pw   |Flo Rida - GDFR (K Theory Remix)                              |
115.   |https://www.youtube.com/watch?v=S9YMBCvN778   |Flo Rida - GDFR (K Theory Remix)                              |
116.   |https://www.youtube.com/watch?v=4jBDnYE1WjI   |Galantis - Peanut Butter Jelly                                |
117.   |https://www.youtube.com/watch?v=H2n92fxYFHo   |Galantis - Peanut Butter Jelly                                |
118.   |https://www.youtube.com/watch?v=291zCkRuRls   |Galantis - Peanut Butter Jelly                                |
119.   |https://www.youtube.com/watch?v=EBJnVvItL3o   |Galantis - Peanut Butter Jelly                                |
120.   |https://www.youtube.com/watch?v=28capRrMBV0   |Galantis - Peanut Butter Jelly                                |
121.   |https://www.youtube.com/watch?v=-mF5LBKKdD8   |Galantis - Peanut Butter Jelly                                |
122.   |https://www.youtube.com/watch?v=KLt2-dukyi8   |Galantis - Peanut Butter Jelly                                |
123.   |https://www.youtube.com/watch?v=iDSI20P_eR4   |Galantis - Peanut Butter Jelly                                |
124.   |https://www.youtube.com/watch?v=-y11kJzwe4Y   |Galantis - You                                                |
125.   |https://www.youtube.com/watch?v=_snOoa8fR4s   |Galantis - You                                                |
126.   |https://www.youtube.com/watch?v=gAjR4_CbPpQ   |Daft Punk - Harder, Better, Faster, Stronger                  |
127.   |https://www.youtube.com/watch?v=GDpmVUEjagg   |Daft Punk - Harder, Better, Faster, Stronger                  |
128.   |https://www.youtube.com/watch?v=K2cYWfq--Nw   |Daft Punk - Harder, Better, Faster, Stronger                  |
129.   |https://www.youtube.com/watch?v=bl6RJyZdBSU   |Daft Punk - Harder, Better, Faster, Stronger                  |
130.   |https://www.youtube.com/watch?v=ThFnvjYYtFw   |Daft Punk - Harder, Better, Faster, Stronger                  |
131.   |https://www.youtube.com/watch?v=LFfS4p3Tl0k   |Daft Punk - Harder, Better, Faster, Stronger                  |
132.   |https://www.youtube.com/watch?v=hzExWz7KP5M   |Flux Pavillion - I Can't Stop                                 |
133.   |https://www.youtube.com/watch?v=3Q9rewnLFYw   |Flux Pavillion - I Can't Stop                                 |
134.   |https://www.youtube.com/watch?v=kv2ZpCyQSus   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
135.   |https://www.youtube.com/watch?v=xDqeU3vPwYo   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
136.   |https://www.youtube.com/watch?v=sFIDe7V_SPY   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
137.   |https://www.youtube.com/watch?v=5RjHEDFKLbE   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
138.   |https://www.youtube.com/watch?v=vpfw1T_yG6w   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
139.   |https://www.youtube.com/watch?v=gzmONLJsRU4   |Jay-Z & Kanye West - Niggas In Paris (Onderkoffer Remix)      |
140.   |https://www.youtube.com/watch?v=5hEh9LiSzow   |Jetta - I'd Love to Change the World (Matstubs Remix)         |
141.   |https://www.youtube.com/watch?v=mJhqBTtKSRo   |Jetta - I'd Love to Change the World (Matstubs Remix)         |
142.   |https://www.youtube.com/watch?v=mhOmMz3y1mk   |Jetta - I'd Love to Change the World (Matstubs Remix)         |
143.   |https://www.youtube.com/watch?v=scklTGwH0GM   |Jetta - I'd Love to Change the World (Matstubs Remix)         |
144.   |https://www.youtube.com/watch?v=UH0t0Ey_d4s   |Jetta - I'd Love to Change the World (Matstubs Remix)         |
145.   |https://www.youtube.com/watch?v=T5W0834QweU   |Jetta - I'd Love to Change the World (Matstubs Remix)         |
146.   |https://www.youtube.com/watch?v=3r7-g5fOF2c   |KDrew - Bullseye                                              |
147.   |https://www.youtube.com/watch?v=kqjKOL0N8ks   |KDrew - Bullseye                                              |
148.   |https://www.youtube.com/watch?v=e22wjV8HT_I   |KDrew - Bullseye                                              |
149.   |https://www.youtube.com/watch?v=R0_vPC5WypM   |KDrew - Bullseye                                              |
150.   |https://www.youtube.com/watch?v=CXRg3M5lUg4   |KDrew - Bullseye                                              |
151.   |https://www.youtube.com/watch?v=uffWx28lGCo   |KDrew - Bullseye                                              |
152.   |https://www.youtube.com/watch?v=rEhjwJnTczA   |Knife Party - Bonfire                                         |
153.   |https://www.youtube.com/watch?v=e-IWRmpefzE   |Knife Party - Bonfire                                         |
154.   |https://www.youtube.com/watch?v=YL2IylkwZxs   |Knife Party - Bonfire                                         |
155.   |https://www.youtube.com/watch?v=s88JDxazUKo   |Knife Party - Bonfire                                         |
156.   |https://www.youtube.com/watch?v=lIXuj5QYigI   |Knife Party - Bonfire                                         |
157.   |https://www.youtube.com/watch?v=1RrW7doQJNY   |Knife Party - Bonfire                                         |
158.   |https://www.youtube.com/watch?v=fPslvBVqJp8   |Knife Party - Internet Friends                                |
159.   |https://www.youtube.com/watch?v=gcejLp72iCE   |Knife Party - Internet Friends                                |
160.   |https://www.youtube.com/watch?v=luJJBeCFeM0   |Knife Party - Internet Friends                                |
161.   |https://www.youtube.com/watch?v=UC6QdhbZdpo   |Knife Party - Internet Friends                                |
162.   |https://www.youtube.com/watch?v=ufDIdRyMklw   |Knife Party - Internet Friends                                |
163.   |https://www.youtube.com/watch?v=gCYcHz2k5x0   |Martin Garrix - Animals                                       |
164.   |https://www.youtube.com/watch?v=DuFUtL8zUAk   |Martin Garrix - Animals                                       |
165.   |https://www.youtube.com/watch?v=CkRyaG4Mjik   |Martin Garrix - Animals                                       |
166.   |https://www.youtube.com/watch?v=IPYTxAHeR_o   |Martin Garrix - Animals                                       |
167.   |https://www.youtube.com/watch?v=8r0ScEaaYms   |Martin Garrix - Animals                                       |
168.   |https://www.youtube.com/watch?v=YqeW9_5kURI   |Major Lazer & DJ Snake - Lean On (feat. MØ)                   |
169.   |https://www.youtube.com/watch?v=rn9AQoI7mYU   |Major Lazer & DJ Snake - Lean On (feat. MØ)                   |
170.   |https://www.youtube.com/watch?v=-AMc7KPOkbY   |Major Lazer & DJ Snake - Lean On (feat. MØ)                   |
171.   |https://www.youtube.com/watch?v=awimSQD2Dyo   |Mako - Our Story                                              |
172.   |https://www.youtube.com/watch?v=pNY_5Z0hTJ4   |Mako - Our Story                                              |
173.   |https://www.youtube.com/watch?v=0wlEU555tcQ   |Mako - Our Story                                              |
174.   |https://www.youtube.com/watch?v=5obTGsj29No   |Mako - Our Story                                              |
175.   |https://www.youtube.com/watch?v=xybM_RUeEfc   |Mako - Our Story                                              |
176.   |https://www.youtube.com/watch?v=lxLj18sK79M   |Mako - Our Story                                              |
177.   |https://www.youtube.com/watch?v=QE3Tpi2r45U   |Mako - Our Story                                              |
178.   |https://www.youtube.com/watch?v=qn-X5A0gbMA   |OMFG - I Love You                                             |
179.   |https://www.youtube.com/watch?v=mOH73ZHXac8   |OMFG - I Love You                                             |
180.   |https://www.youtube.com/watch?v=ON5AQ2h-QpQ   |OMFG - I Love You                                             |
181.   |https://www.youtube.com/watch?v=wzMrK-aGCug   |Rae Sremmurd - No Type                                        |
182.   |https://www.youtube.com/watch?v=_0Lp8WGUfKE   |Rae Sremmurd - No Type                                        |
183.   |https://www.youtube.com/watch?v=TaWasP4hSag   |Rae Sremmurd - No Type                                        |
184.   |https://www.youtube.com/watch?v=avXQPMNIj-k   |Spag Heddy - Love On First Sine                               |
185.   |https://www.youtube.com/watch?v=W9rG-zeRMhM   |Spag Heddy - Love On First Sine                               |
186.   |https://www.youtube.com/watch?v=GOQOzeL9c3E   |Spag Heddy - Love On First Sine                               |
187.   |https://www.youtube.com/watch?v=KK4e4w4xQjw   |Spag Heddy - Love On First Sine                               |
188.   |https://www.youtube.com/watch?v=L2NhfzcVmBA   |KDrew - Circles                                               |
189.   |https://www.youtube.com/watch?v=qx3s0ZKSATA   |KDrew - Circles                                               |
190.   |https://www.youtube.com/watch?v=D2-FKETWFCY   |KDrew - Circles                                               |
191.   |https://www.youtube.com/watch?v=7oE9_ivE394   |Sqeepo - Irish Swag                                           |
192.   |https://www.youtube.com/watch?v=sMV8CC6_Rbw   |Sqeepo - Irish Swag                                           |
193.   |https://www.youtube.com/watch?v=uCvnGD17D44   |Sqeepo - Irish Swag                                           |
194.   |https://www.youtube.com/watch?v=KnL2RJZTdA4   |Martin Garrix & Jay Hardway - Wizard                          |
195.   |https://www.youtube.com/watch?v=e60C4WvvvCo   |Martin Garrix & Jay Hardway - Wizard                          |
196.   |https://www.youtube.com/watch?v=9vMh9f41pqE   |Dimitri Vegas, Martin Garrix, Like Mike - Tremor              |
197.   |https://www.youtube.com/watch?v=3vC5TsSyNjU   |M4SONIC - Weapon (Live Launchpad Mashup)                      |
198.   |https://www.youtube.com/watch?v=t1vWAkOgoGM   |M4SONIC - Weapon (Live Launchpad Mashup)                      |
199.   |https://www.youtube.com/watch?v=oxaIjH2R5YM   |M4SONIC - Weapon (Live Launchpad Mashup)                      |
200.   |https://www.youtube.com/watch?v=yXLL46xkdlY   |M4SONIC - Virus (Live Launchpad Original)                     |
201.   |https://www.youtube.com/watch?v=-B8rXz_pp-M   |M4SONIC - Virus (Live Launchpad Original)                     |
202.   |https://www.youtube.com/watch?v=bnZZ964_CRo   |M4SONIC - Virus (Live Launchpad Original)                     |
203.   |https://www.youtube.com/watch?v=0BPu5m63_go   |Imagine Dragons - Radioactive (Synchronice Remix)             |
204.   |https://www.youtube.com/watch?v=EeajUZfJKZw   |Imagine Dragons - Radioactive (Synchronice Remix)             |
205.   |https://www.youtube.com/watch?v=AyQv2hTESUA   |Imagine Dragons - Radioactive (Synchronice Remix)             |
206.   |https://www.youtube.com/watch?v=ppE2vQ6GEFI   |Imagine Dragons - Radioactive (Synchronice Remix)             |
207.   |https://www.youtube.com/watch?v=97xnWVZYq_Q   |Krewella - Enjoy the Ride                                     |
208.   |https://www.youtube.com/watch?v=T3puoynrExA   |Krewella - Enjoy the Ride                                     |
_____________________________________________________________________________________________________________________|
